"","y_cm","Es_keV","contents","PrReach","uPrReach","PrDet","uPrDet"
"172",-750,1173,"m",3.329e-05,4.10496521605848e-07,2.14e-05,3.32867203427658e-07
"173",-1000,1173,"m",1.5108333375e-05,1.59628859681488e-07,9.708332745e-06,1.28967422631944e-07
"174",-1250,1173,"m",8.013332225e-06,1.16571245739532e-07,5.17999985e-06,9.43131025935478e-08
"175",-1500,1173,"m",4.841499121e-06,2.85597964747087e-08,3.107917018e-06,2.32141168565287e-08
"176",0,1200,"m",0.01335386525,4.06946581742426e-06,0.00957960025,3.5293343744495e-06
"177",-250,1200,"m",0.00186685,1.53035570429685e-06,0.0012716981,1.29160172028277e-06
"178",-500,1200,"m",0.00010666,7.34393183970787e-07,6.98325e-05,6.03093020144747e-07
"179",-750,1200,"m",3.4075e-05,4.1510555178111e-07,2.1865e-05,3.36256904978916e-07
"180",-1000,1200,"m",1.5925e-05,2.83953804992115e-07,1.0165e-05,2.27667017393824e-07
"181",-1250,1200,"m",8.39000000000002e-06,2.05911512575791e-07,5.46e-06,1.67925750345949e-07
"182",-1500,1200,"m",5.0218332765e-06,2.91005850824103e-08,3.227499645e-06,2.36566991960237e-08
"183",0,1250,"m",0.0137813465,4.14953365150115e-06,0.009911248,3.60535647606113e-06
"184",-250,1250,"m",0.00196442,1.57042056856186e-06,0.00134177705,1.32655021194569e-06
"185",-500,1250,"m",0.000113335,7.56438127690725e-07,7.46825e-05,6.2496901007095e-07
"186",-750,1250,"m",3.6195e-05,4.27977013725329e-07,2.3195e-05,3.46294420325754e-07
"187",-1000,1250,"m",1.66250000000001e-05,2.89856341528437e-07,1.0765e-05,2.34692051381699e-07
"188",-1250,1250,"m",8.90000000000003e-06,2.12252036259372e-07,5.84e-06,1.74640584778424e-07
"189",-1500,1250,"m",5.208333174e-06,2.96411734567725e-08,3.357917391e-06,2.41638245868146e-08
"190",0,1300,"m",0.01419805125,4.22636114544781e-06,0.01023738425,3.68308528833202e-06
"191",-250,1300,"m",0.00206143,1.6069563536563e-06,0.00141129935,1.36006186478493e-06
"192",-500,1300,"m",0.00012027,7.79250887876299e-07,7.92575e-05,6.43492524638253e-07
"193",-750,1300,"m",3.8585e-05,4.41518002973265e-07,2.46675e-05,3.56372376147479e-07
"194",-1000,1300,"m",1.7495e-05,2.97460267631662e-07,1.143e-05,2.43722507872683e-07
"195",-1250,1300,"m",9.43500000000002e-06,2.18800237522723e-07,6.065e-06,1.77689661227799e-07
"196",-1500,1300,"m",5.4718339335e-06,3.03634452014216e-08,3.5215839555e-06,2.4748699057491e-08
"197",0,1332,"m",0.01445451,8.53436425501105e-06,0.010443205,7.41387324928027e-06
"198",-250,1332,"m",0.002124355,3.26425153901216e-06,0.0014563925,2.76774549806045e-06
"199",-500,1332,"m",0.000124795,7.93806768615637e-07,8.23375e-05,6.57601119007421e-07
"200",-750,1332,"m",3.975e-05,4.4807593388928e-07,2.5555e-05,3.62722480425462e-07
"201",-1000,1332,"m",1.827e-05,3.04306276789931e-07,1.189e-05,2.48511180789215e-07
"202",-1250,1332,"m",9.60500000000003e-06,2.20282316944643e-07,6.16e-06,1.79025329603802e-07
"203",-1500,1332,"m",5.60099883200001e-06,3.07206074080584e-08,3.625167256e-06,2.51117251749187e-08
"204",0,1350,"m",0.014599375,8.53702255621496e-06,0.0105588275,7.46567141581334e-06
"205",-250,1350,"m",0.00215643,3.28856049748028e-06,0.0014799975,2.78868056271645e-06
"206",-500,1350,"m",0.00012609,7.98233815305077e-07,8.32975e-05,6.61201263201351e-07
"207",-750,1350,"m",3.997e-05,4.49027084349875e-07,2.584e-05,3.66291159928478e-07
"208",-1000,1350,"m",1.852e-05,3.06591715651695e-07,1.212e-05,2.51100066342584e-07
"209",-1250,1350,"m",9.53000000000003e-06,2.19547886601648e-07,6.205e-06,1.79381660143254e-07
"210",-1500,1350,"m",5.6746662385e-06,3.09322849173403e-08,3.6668343595e-06,2.52548108009971e-08
"211",0,1400,"m",0.01498879,8.68501539662527e-06,0.0108625425,7.55348704877814e-06
"212",-250,1400,"m",0.00224821,3.35687272860009e-06,0.001547165,2.85236496456146e-06
"213",-500,1400,"m",0.000133105,8.19184010553184e-07,8.808e-05,6.79576419020058e-07
"214",-750,1400,"m",4.1535e-05,4.57879949176091e-07,2.69225e-05,3.74687791190296e-07
